name,address,lat,lng,limited_time,open_hours,rest_days,midnight,pudding,basque,tiramisu,dessert,salty_food,café,alcohol,study,chat,photo,pet,wifi,
寮國咖啡,桃園市桃園區廈門街19號,24.994548,121.299565,0,週一～週六08:00～18:00,,,,,,,,,,,,,,,
Poffee Canteen 波菲咖啡食堂,中壢區元化路125巷32號,24.959372,121.228829,0,11:00~20:00,,,,,,,,,,,,,,,
Want Cafe 玩咖咖啡館,桃園市中壢區環北路167號,24.966678,121.221425,0,主要是六日營業，其他以教學為主,,,,,,,,,,,,,,,
等等計劃 nice ghost sleep clinic,330 桃園市桃園區中華路10號3樓之7,24.991446,121.311582,,不定休，可見店舖行事曆,,,,,,,,,,,,,,,
瑞沁咖啡,桃園市中壢區元化路141號,24.959453,121.2281439,0,,,,,,,,,,,,,,,,
豆舖咖啡,桃園區大興西路二段322號,25.0086999,121.294,0,10：30-20：30,,,,,,,,,,,,,,,
Daisy Cafe,桃園市八德區忠勇一街37號,24.9654268,121.3049213,,,,,,,,,,,,,,,,,
Re-Title Cafe,桃園市中壢區愛國路60巷39號,24.9617421,121.221461,,,,,,,,,,,,,,,,,
Webberhood Coffee,桃園市桃園區國強一街172號1樓,24.9925253,121.2837439,0,,,,,,,,,,,,,,,,
築園咖啡,桃園市楊梅區行善路120號,24.9040122,121.153585,0,,,,,,,,,,,,,,,,
年代人文咖啡館,桃園市桃園區民族路271號,24.9958602,121.3068297,,,,,,,,,,,,,,,,,
野人獻曝咖啡館龍潭店,桃園市龍潭區新龍路114號,24.8601132,121.2157716,0,11:00-20:00,,,,,,,,,,,,,,,
風雨珈琲,桃園市桃園區民權路25巷12號,24.9906469,121.311007,,日～一13:00 - 20:00,,,,,,,,,,,,,,,
午後時光Coffee烘焙,桃園市蘆竹區南崁路178號2樓,25.0477982,121.2939693,0,,,,,,,,,,,,,,,,
音閱咖啡,桃園市中壢區中央東路88號,24.9561568,121.2262525,0,,,,,,,,,,,,,,,,
八號咖啡館,桃園市龜山區大興商場8號,24.9949734,121.3357197,,,,,,,,,,,,,,,,,
拾光咖啡,中壢區中北路107號,24.9569399,121.238236,,,,,,,,,,,,,,,,,
 三火木咖啡企業社 (燊咖啡3店),桃園市桃園區幸福路87號,25.0283047,121.3017806,,,,,,,,,,,,,,,,,
甘田果鋪,桃園市中壢區元化路213號,24.9609097,121.2272708,,,,,,,,,,,,,,,,,
陽台terrase 咖啡,桃園市中壢區慈惠三街34號,24.9610942,121.2244511,,,,,,,,,,,,,,,,,
奕鼎咖啡,桃園縣八德區忠勇街317號,24.9650521,121.3034822,,,,,,,,,,,,,,,,,
Café 4 FUN 咖啡趣,桃園市桃園區信光路52號,25.0060536,121.3068685,,,,,,,,,,,,,,,,,
Bowen Coffee 伯元精品咖啡烘焙,桃園市八德區廣福路783號,24.960633,121.279673,0,"9:00~19:00, 每週一&第二.四週日公休",,,,,,,,,,,,,,,
日青方好Goodafter,桃園市桃園區大興路118號,25.015515,121.3100817,,,,,,,,,,,,,,,,,
習作咖啡部,桃園市桃園區林森路6巷37號,24.9877905,121.3203807,0,,,,,,,,,,,,,,,,
嵐午咖啡,桃園市中壢區實踐路225-17號,24.9576349,121.2384301,,,,,,,,,,,,,,,,,
Yang Cafe (佑品),桃園市中壢區民權路364號1樓,24.9638843,121.217329,0,10:00 - 20:00,,,,,,,,,,,,,,,
鹿點咖啡workshop,桃園區文化二路34巷14弄6-5號,25.058586,121.365337,0,11:00-19:00,,,,,,,,,,,,,,,
Raretreat Coffee Roaster 微樂咖啡館,桃園縣中壢市恩德街52號,24.9611873,121.2240137,,,,,,,,,,,,,,,,,
四季芳庭,桃園市蘆竹區南上路3號2樓,25.0474903,121.294502,0,,,,,,,,,,,,,,,,
Love in cafe,中壢市慈惠一街126號,24.9610045,121.2251004,0,,,,,,,,,,,,,,,,
豈咖啡,桃園市八德區忠勇街84巷8號,24.9600893,121.3047817,0,,,,,,,,,,,,,,,,
紅果子手烘咖啡坊,桃園市桃園區中山東路70號,24.9966561,121.317299,0,每月雙數週週三公休,,,,,,,,,,,,,,,
ㄩㄢˊ咖啡事務所,桃園市龜山區復興二路131巷19號,25.0542323,121.3708723,0,9:00-19:00禮拜一公休,,,,,,,,,,,,,,,
路易莎咖啡桃鶯店,桃園區桃鶯路168-1號,24.9830364,121.3187402,0,7:00-20:00,,,,,,,,,,,,,,,
麻茶元,桃園市蘆竹區桃園街2號,25.0429807,121.2934596,,,,,,,,,,,,,,,,,
Jo's Corner Café,桃園市桃園區國強一街135號,24.9924875,121.2859462,,,,,,,,,,,,,,,,,
啡行計畫coffee&dessert,桃園市桃園區敬二街38號,25.0230516,121.2931642,,,,,,,,,,,,,,,,,
雷爾森,桃園市中壢區三光路205號,24.9637829,121.2129431,0,週三至週四13:00~20:00、週五13:00~21:00 週六13:30~21:00、週日13:00~20:00,,,,,,,,,,,,,,,
Wooly café,桃園市桃園區大同路60-1號,24.9895092,121.3118249,,,,,,,,,,,,,,,,,
友美子珈琲Cafeyumiko,桃園區同德11街127號,25.0200918,121.2956277,,,,,,,,,,,,,,,,,
